01022020|08152023|jane|10400.0|20.0|15.0
02012018|02282020|jane|10400.0|20.0|15.0
10/2/2020|8/16/2022|jane|10000.0|20.0|15.0
01022020|08162022|jane|15000.0|20.0|15.0
01012020|10202022|jane|100.0|20.0|15.0
01012020|070312023|Jane|100.0|20.0|15.0
011022020|08102021|Allen|300.0|25.0|15.0
10012019|10312022|Dave|10400.0|22.0|20.0
01022018|02142023|Heather|15000.0|26.0|20.0
01022020|08012023|Zeke|6000.0|20.0|15.0
01022020|08012023|Jane|2000.0|20.0|15.0
01/02/2020|01/02/2023|Ace|1234.0|20.0|12.0
01/02/2019|08/10/2023|tim|3000.0|24.0|14.0
